# dosya	verdict	etiket	not
# verdict: kullan | ele
clips/forklift/forklift-compilation--N9bG-sOU6LE/forklift-compilation--N9bG-sOU6LE-k01.mp4	kullan	atolyede patlama ve parca sacilmasi	fabrika ici sabit kamera
clips/forklift/forklift-compilation--N9bG-sOU6LE/forklift-compilation--N9bG-sOU6LE-k03.mp4	kullan	depoda raf/yuk cokmesi	tavan kamerasi
clips/forklift/forklift-compilation--N9bG-sOU6LE/forklift-compilation--N9bG-sOU6LE-k04.mp4	kullan	sokakta kamyon-forklift carpismasi	dis mekan CCTV, 98sn
clips/forklift/forklift-compilation--N9bG-sOU6LE/forklift-compilation--N9bG-sOU6LE-k05.mp4	kullan	sokakta forklift devrilmesi	dikey video, pillarbox
clips/forklift/forklift-compilation--N9bG-sOU6LE/forklift-compilation--N9bG-sOU6LE-k06.mp4	kullan	limanda konteyner istifleyici devrilmesi	gunduz, dis mekan
clips/forklift/forklift-compilation--N9bG-sOU6LE/forklift-compilation--N9bG-sOU6LE-k07.mp4	kullan	limanda konteyner devrilmesi (devam)	k06 ile ayni olay olabilir
clips/forklift/forklift-compilation--N9bG-sOU6LE/forklift-compilation--N9bG-sOU6LE-k08.mp4	kullan	dar koridorda forklift manevrasi	dusuk isik
clips/forklift/forklift-compilation--N9bG-sOU6LE/forklift-compilation--N9bG-sOU6LE-k09.mp4	kullan	ic mekanda yuk dusmesi	
clips/forklift/forklift-compilation--N9bG-sOU6LE/forklift-compilation--N9bG-sOU6LE-k33.mp4	kullan	depoda yuk/raf cokmesi	yesil aydinlatma
clips/yangin/fire-single--lleF2nmlkMY/fire-single--lleF2nmlkMY-k01.mp4	kullan	fabrika dis cephesinde yangin baslangici	ana yangin cekimi
clips/yangin/fire-single--lleF2nmlkMY/fire-single--lleF2nmlkMY-k02.mp4	kullan	yangin buyumesi, yogun duman	k01 devami
clips/yangin/fire-single--lleF2nmlkMY/fire-single--lleF2nmlkMY-k03.mp4	kullan	fabrika ici bos hat, yangin gorunmuyor	negatif ornek olarak degerli
clips/yangin/fire-single--lleF2nmlkMY/fire-single--lleF2nmlkMY-k05.mp4	ele	kanal logosu	icerik yok
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k24.mp4	ele	VHS "THE END" karti	icerik yok
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k01.mp4	kullan	askeri operasyon	
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k02.mp4	kullan	askeri operasyon	
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k03.mp4	kullan	askeri operasyon	
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k04.mp4	kullan	askeri operasyon	
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k05.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k06.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k07.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k08.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k09.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k10.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k11.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k12.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k13.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k14.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k15.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k16.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k19.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k20.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri/military--hE14s_Z-1-Q/military--hE14s_Z-1-Q-k21.mp4	ele	yuzu bulanik roportaj	video analizi icin degersiz
clips/askeri-playlist/pl1-01--B5xphv6lYkw/pl1-01--B5xphv6lYkw-k01.mp4	kullan	daglik arazi operasyonu, kask kamerasi	
clips/askeri-playlist/pl1-01--B5xphv6lYkw/pl1-01--B5xphv6lYkw-k02.mp4	kullan	daglik arazi operasyonu, kask kamerasi	
clips/askeri-playlist/pl1-01--B5xphv6lYkw/pl1-01--B5xphv6lYkw-k03.mp4	kullan	daglik arazi operasyonu, kask kamerasi	
clips/askeri-playlist/pl1-01--B5xphv6lYkw/pl1-01--B5xphv6lYkw-k04.mp4	kullan	daglik arazi operasyonu, kask kamerasi	
clips/askeri-playlist/pl1-01--B5xphv6lYkw/pl1-01--B5xphv6lYkw-k05.mp4	kullan	daglik arazi operasyonu, kask kamerasi	
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k02.mp4	kullan	sinir otesi operasyon: zirhli arac, topcu, keskin nisanci	
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k05.mp4	kullan	sinir otesi operasyon: zirhli arac, topcu, keskin nisanci	
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k06.mp4	kullan	sinir otesi operasyon: zirhli arac, topcu, keskin nisanci	
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k11.mp4	kullan	sinir otesi operasyon: zirhli arac, topcu, keskin nisanci	
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k12.mp4	kullan	sinir otesi operasyon: zirhli arac, topcu, keskin nisanci	
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k13.mp4	kullan	sinir otesi operasyon: zirhli arac, topcu, keskin nisanci	
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k17.mp4	kullan	sinir otesi operasyon: zirhli arac, topcu, keskin nisanci	
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k19.mp4	kullan	sinir otesi operasyon: zirhli arac, topcu, keskin nisanci	
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k21.mp4	kullan	sinir otesi operasyon: zirhli arac, topcu, keskin nisanci	
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k22.mp4	kullan	sinir otesi operasyon: zirhli arac, topcu, keskin nisanci	
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k25.mp4	ele	gece cekimi, neredeyse tamamen karanlik	tespit icin kullanissiz
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k27.mp4	ele	gece cekimi, neredeyse tamamen karanlik	tespit icin kullanissiz
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k28.mp4	ele	gece cekimi, neredeyse tamamen karanlik	tespit icin kullanissiz
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k29.mp4	ele	gece cekimi, neredeyse tamamen karanlik	tespit icin kullanissiz
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k38.mp4	kullan	sinir otesi operasyon: zirhli arac, topcu, keskin nisanci	
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k39.mp4	kullan	sinir otesi operasyon: zirhli arac, topcu, keskin nisanci	
clips/askeri-playlist/pl1-04--V7yXO_Nd5NI/pl1-04--V7yXO_Nd5NI-k42.mp4	kullan	sinir otesi operasyon: zirhli arac, topcu, keskin nisanci	
clips/askeri-playlist/pl1-05--6wLrSZyeha8/pl1-05--6wLrSZyeha8-k01.mp4	kullan	askeri operasyon	
clips/askeri-playlist/pl1-05--6wLrSZyeha8/pl1-05--6wLrSZyeha8-k03.mp4	kullan	askeri operasyon	
clips/askeri-playlist/pl1-05--6wLrSZyeha8/pl1-05--6wLrSZyeha8-k04.mp4	kullan	askeri operasyon	
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k01.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k02.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k03.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k04.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
