fire-single	yangin	https://youtu.be/lleF2nmlkMY	Tekli algilama: videoda sadece yangin var
multi-event	karisik	https://youtu.be/OlRDWS2E0EY	Coklu algilama: her yerde farkli seyler, buyuk olay yok
forklift-accident	forklift	https://youtu.be/qOPnf-YRuk8	Forklift kaza ani, kisa
forklift-compilation	forklift	https://youtu.be/N9bG-sOU6LE	DERLEME - kisa forklift kazalari
forklift-normal	forklift	https://youtu.be/2gL1vMvYQQQ	Fabrika calisma kaydi, kaza yok (surec takip)
forklift-normal	forklift	https://youtu.be/BBcLqG3OYSA	Fabrika calisma kaydi, kaza yok (surec takip)
forklift-cause	forklift	https://youtu.be/P2X2Do5m0hY	Kaza ani + sebep algilama
forklift-cause	forklift	https://youtu.be/Spig3ulTqxw	Kaza ani + sebep algilama
forklift-cause	forklift	https://youtu.be/6iCOp5MzXE4	Kaza ani + sebep algilama
forklift-cause	forklift	https://youtu.be/V8ZmOgMlyRE	Kaza ani + sebep algilama
forklift-cause	forklift	https://www.tiktok.com/@forklifthero/video/7491923795838553366	Kaza ani + sebep algilama (TikTok)
factory-accidents	fabrika	https://youtu.be/UuNsheZUgtE	Fabrika genel kaza anlari (muhtemelen derleme)
traffic-moto	trafik	https://youtu.be/-8oYzSP5Vbw	Motosiklet kask-kamerasi trafik kazalari (dokumanda fabrika diye gecmis)
factory-accidents	fabrika	https://youtu.be/jEdp6Aj-4hE	Fabrika farkli is kazasi anlari (muhtemelen derleme)
military	askeri	https://youtu.be/MImbyEHJTkM	Askeri operasyon
military	askeri	https://youtu.be/hE14s_Z-1-Q	Askeri operasyon
military	askeri	https://youtu.be/8r5uyR54F-8	Askeri operasyon
military-playlist	askeri	https://youtube.com/playlist?list=PLakEHcmK8B8WPrVTZO6Fdzfgqb6gI93SR	Askeri operasyon oynatma listesi
military-playlist	askeri	https://youtube.com/playlist?list=PLCCgfjUwnRFYobTH6fQkbDcHcYFfNuRhk	Askeri operasyon oynatma listesi
synthetic-bodycam	sentetik	https://youtube.com/shorts/nlXwNwilt8I	Bodycam oyunu - sentetik uretim kaynagi
synthetic-bodycam	sentetik	https://youtube.com/shorts/_NoifbuniNM	Bodycam oyunu - sentetik uretim kaynagi
synthetic-bodycam	sentetik	https://youtube.com/shorts/wR-zo-dinUc	Bodycam oyunu - sentetik uretim kaynagi
synthetic-bodycam	sentetik	https://youtu.be/KVkPToQGVAQ	Bodycam oyunu - sentetik uretim kaynagi
